gcf_id,count
9710,3939
3703,2396
15483,1600
1951,1481
12708,1455
882,1370
358,1364
22333,1151
1128,1139
19820,950
12571,677
125,677
22381,659
23,576
188,503
1513,502
15194,501
4533,464
66,447
21878,433
876,423
1665,409
22317,370
2210,369
3622,366
464,364
13234,359
1454,357
308,323
2129,276
2094,255
12341,233
9409,232
3812,231
3109,228
1695,221
1464,216
22650,210
22519,206
9463,200
22356,191
14937,183
4583,179
2105,173
3790,169
2330,169
1,166
13115,162
546,156
98,151
1462,150
15883,143
5662,139
9843,135
393,135
3024,134
2628,128
4126,128
7,125
5551,124
157,123
3048,122
1300,122
12131,121
6312,120
6269,120
19498,119
12826,112
12674,110
12750,108
4142,107
2168,102
5028,102
10555,101
380,98
199,98
22434,97
1350,96
22469,95
16310,91
80,89
9700,88
22591,88
17540,87
7440,86
7267,86
16341,86
12127,86
3774,86
12358,83
4298,82
217,81
2000,81
5674,81
22337,81
2474,79
2936,78
10453,76
22326,74
16161,73
15661,73
1679,73
17339,73
10853,72
11316,71
13890,71
22329,71
3589,70
1022,69
16585,68
17367,66
10716,66
18986,64
6550,63
2126,63
12573,63
2512,62
1777,61
8386,60
9775,59
19584,58
3020,57
2300,56
3513,56
3858,55
15926,55
3052,55
1831,54
10418,54
1291,54
13436,54
10777,54
896,53
19454,53
17892,52
1630,52
4952,51
845,50
16293,49
2131,49
4889,48
22286,48
21692,48
8036,48
20668,47
104,47
15940,46
4727,46
17487,46
1503,45
8025,45
5062,45
15149,45
22481,45
11639,44
17682,44
3197,44
6537,43
5645,43
18767,43
6121,43
20341,43
22330,42
868,42
7573,42
184,41
4186,41
16054,41
16772,41
13425,40
11980,40
14600,40
6092,40
19359,40
13814,39
22620,39
9052,39
4658,39
2972,39
20307,39
15230,39
4113,39
5618,38
4013,38
14243,37
9634,37
6,37
15611,37
22422,36
438,36
15822,36
22366,36
6212,35
19466,35
2795,35
18373,35
21789,35
5047,34
5232,34
19268,34
6992,34
17488,34
121,34
22316,33
3074,33
11849,33
7842,33
8577,33
3960,33
2940,33
21451,33
4831,32
15114,32
12224,32
16179,32
17609,32
11181,32
13809,32
22486,31
22499,31
2503,31
1884,31
538,31
5453,31
16983,31
15317,30
2830,30
3143,30
6286,30
4700,30
10,30
16799,29
15418,29
6803,29
7761,29
20073,29
534,28
22455,28
8895,27
18064,27
22484,27
3391,27
10656,27
14941,27
5309,27
14201,27
19476,27
21628,27
16087,27
16759,27
8088,27
18235,26
17948,26
4529,26
8359,26
46,26
22352,26
21175,26
1348,26
13479,25
15674,25
21917,25
17984,25
6618,25
2034,24
6154,24
7060,24
22607,24
22318,24
4800,24
18001,24
18885,24
752,24
13409,24
2003,23
17032,23
15695,23
3032,23
3689,23
5567,23
13515,23
14783,23
17928,23
814,22
5743,22
22362,22
21816,22
11274,22
22103,22
15014,22
22524,22
21049,22
15464,22
4465,22
6591,21
18532,21
2989,21
7790,21
337,21
18642,20
19650,20
6302,20
13019,20
13415,20
10859,20
14968,20
12036,19
2743,19
19940,19
11350,19
12636,19
1095,19
5884,19
6137,19
14483,19
13038,19
15116,19
3486,19
11117,19
14339,19
16449,19
3210,19
19521,18
6833,18
22537,18
1047,18
497,18
20158,18
2116,18
20478,17
13723,17
10176,17
5033,17
2370,17
17252,17
3128,17
10921,17
21249,17
11111,17
183,17
4951,17
7360,17
2140,17
19949,17
2657,17
6258,16
17662,16
22239,16
13965,16
7819,16
12710,16
3476,16
12715,16
4273,16
13470,16
2785,16
20831,16
3890,16
22141,16
3083,16
21877,16
3382,16
60,16
11137,16
22099,15
5468,15
4480,15
6126,15
18005,15
4061,15
15632,15
3492,15
3326,15
14859,15
4177,15
19152,15
2207,15
21706,15
15291,15
12029,15
11477,15
3269,15
3648,15
22594,15
6502,15
20204,15
2858,15
12779,15
2345,15
22443,15
9067,15
22496,15
2073,14
1958,14
9905,14
3059,14
5568,14
14794,14
16832,14
2306,14
12449,14
16144,14
14606,14
17596,14
6772,14
10772,14
349,14
3883,14
6105,14
9827,14
11758,14
1524,14
6272,14
3769,14
22224,14
8222,14
4380,14
472,14
9607,14
11253,13
9600,13
18348,13
10361,13
11584,13
3120,13
3309,13
19898,13
5796,13
2723,13
22200,13
17733,13
8963,13
460,13
22275,13
17990,13
22294,13
19113,13
4288,13
19764,13
11756,13
22110,13
10382,13
12219,13
3773,13
3736,13
15622,13
8816,13
9174,13
22150,13
18738,12
21632,12
2487,12
3792,12
2254,12
22507,12
2246,12
5555,12
2183,12
8140,12
2601,12
889,12
20995,12
5785,12
16462,12
19823,12
3035,12
14860,12
13976,12
5504,12
14499,12
13439,12
6888,12
120,12
18067,12
2585,12
7364,12
11960,12
3778,11
5603,11
22216,11
13052,11
