gcf_id,count
40575,2218
32610,1359
2288,658
584,595
12007,586
15226,582
2101,498
4427,432
3569,378
7013,364
1299,331
31202,317
15222,309
41623,306
4216,303
10008,298
2027,291
3610,278
4246,259
9615,255
6492,247
5387,245
15289,240
10149,236
16289,228
3856,213
10522,207
9222,188
7030,182
21332,178
7102,169
5062,166
39514,164
298,162
4331,162
34331,156
31297,144
2906,141
6894,138
21923,134
42159,134
41248,134
2304,131
1022,130
10984,128
39872,128
39567,127
9936,125
36659,120
42223,120
45999,118
1047,117
2377,114
23406,113
40603,112
35304,110
7162,110
11022,109
705,109
994,108
3338,105
43214,105
42313,103
39738,103
42858,100
3154,99
42409,99
10921,98
21722,96
91,96
23510,94
41057,93
542,90
30434,89
44179,89
4761,88
35240,88
16576,87
42396,87
2320,86
24120,86
1653,85
42519,85
42303,85
30492,84
26772,83
18294,83
39756,82
5090,81
32847,78
44764,78
33508,78
10446,77
23211,77
31520,77
38264,75
3692,75
46401,75
14299,75
31318,75
30941,74
42937,73
41935,72
679,72
9472,71
19983,71
16164,70
15606,70
41345,69
4285,69
32371,69
121,69
13288,68
42782,68
7635,68
8132,68
46921,68
30861,67
6291,67
24375,66
6143,66
44296,66
31365,66
4368,64
2307,64
26054,64
3850,62
10970,62
37102,61
40223,61
1823,61
39274,61
13140,60
43262,60
8446,60
37730,60
509,59
43361,59
43670,59
43726,59
1012,59
3354,58
42362,58
23368,58
45724,58
18040,57
41101,56
41859,56
41791,55
13660,55
43132,55
8170,54
45177,54
40644,53
25908,53
26501,53
44018,53
13874,52
43925,52
42239,52
6425,52
46019,51
30591,51
3541,51
16912,50
10837,50
43284,50
28434,50
18001,50
40913,50
43957,50
30450,49
30994,49
41752,49
26520,49
42200,48
7016,48
3528,48
40124,47
42846,47
33140,47
21763,47
40294,47
947,46
42115,46
782,46
41202,46
12363,46
31405,46
10244,46
45976,46
3673,46
23323,45
44760,45
32747,45
41001,45
13035,44
44435,44
42497,44
46092,44
33994,44
33633,44
23913,44
14198,44
43055,43
6200,43
43242,43
22476,43
1094,43
43540,43
32571,42
25308,42
2957,42
44427,42
29326,41
38915,41
46218,41
1367,41
39076,41
46286,41
38398,40
43310,40
1119,40
8022,40
42013,40
28109,40
8562,39
42566,39
7756,39
37781,39
30229,39
40708,39
6227,39
44409,38
620,38
45178,37
2938,37
23861,37
3627,37
30865,37
10571,36
42608,36
40746,36
1020,36
31012,36
29785,36
43773,36
39389,36
4500,36
33885,36
44328,35
45823,35
21034,35
45315,35
30693,35
36625,35
40113,35
45246,35
16108,35
18768,35
25687,34
42840,34
28747,34
23628,34
41325,34
24,34
16837,34
45258,34
2933,34
18773,34
10697,34
21341,34
26100,33
2551,33
3248,33
21932,33
2958,33
32938,32
41911,32
40711,32
39572,32
38566,31
27220,31
7231,31
42425,31
43970,31
43819,31
45485,31
30117,31
36026,31
42570,30
30386,30
32830,30
7888,30
12210,30
143,30
15435,30
13876,30
25884,30
12871,30
38314,30
1726,29
40514,29
20918,29
8642,29
16857,29
43664,29
22197,29
4141,29
44694,29
38490,29
16969,28
21198,28
31398,28
4010,28
16495,28
32198,28
15820,28
45698,28
38110,28
18852,28
45567,27
40056,27
21735,27
14338,27
44104,27
11840,27
46052,27
36419,27
34478,27
22097,27
4203,27
15013,27
23207,27
2178,27
34467,27
24307,27
17069,27
13136,27
14700,27
43943,27
43912,26
16552,26
32631,26
41673,26
40080,26
39208,26
34421,26
40769,26
44514,26
7163,26
43586,26
43876,26
38919,25
40791,25
45924,25
5942,25
16737,25
2014,25
5959,25
41685,25
6318,25
33086,25
22182,25
1083,25
45830,25
1599,25
3040,24
34394,24
8904,24
34487,24
13688,24
46570,24
41902,24
12786,24
43148,24
46792,24
13883,24
15547,24
42437,24
38583,24
43247,24
16014,24
35745,24
2244,24
517,24
28222,24
4201,24
19743,24
36046,24
47115,24
44009,24
1040,24
45861,24
7929,24
23024,23
29610,23
1746,23
3852,23
40281,23
5824,23
46763,23
36227,23
3927,23
27514,23
39161,23
5105,23
5182,23
41768,22
45852,22
44084,22
30986,22
46126,22
3563,22
51,22
33903,22
13482,21
36372,21
26005,21
36610,21
46016,21
43965,21
21184,21
40529,21
11353,21
47093,21
13895,21
41397,20
20354,20
42614,20
32545,20
9337,20
16688,20
35776,20
18836,20
12528,20
23646,20
41251,20
33387,20
1172,20
40437,20
20163,20
22680,20
6596,20
41940,20
44743,20
40843,20
4353,20
16054,20
16111,20
26059,19
13186,19
9948,19
37582,19
46380,19
16538,19
13767,19
12966,19
13399,19
36873,19
7132,19
20400,19
37216,19
12366,19
15303,19
33251,18
42063,18
18808,18
43750,18
26603,18
46884,18
44600,18
14156,18
2639,18
35237,18
19577,18
44473,18
31358,18
41881,18
3655,18
11362,18
38947,18
27051,17
3042,17
42889,17
13246,17
45373,17
3682,17
4523,17
41678,17
672,17
45391,17
35977,17
20444,17
12734,17
42032,17
44568,17
26443,17
38820,17
4444,17
36567,17
32354,17
41796,17
42763,17
37628,17
34011,17
43877,17
27564,17
35495,17
46935,17
43120,17
5545,17
43174,16
15165,16
11699,16
41341,16
35613,16
26498,16
46777,16
10101,16
34318,16
42373,16
34114,16
7299,16
3054,16
1627,16
35480,16
28869,16
42660,16
44610,16
43339,16
25972,16
5235,16
42681,16
14914,16
45313,16
4505,16
38573,16
29297,16
39437,16
28338,16
20626,16
17890,16
43007,16
30961,16
47129,15
32858,15
40283,15
41441,15
18305,15
9311,15
4744,15
5713,15
20740,15
36148,15
23080,15
30897,15
40887,15
33876,15
5572,15
15608,15
786,15
6095,15
14380,15
30120,15
29503,15
29718,15
1126,15
16001,15
2123,15
34494,15
16105,15
12055,15
14186,15
46274,15
32658,15
44421,15
45535,15
42853,15
40222,15
18684,15
46311,15
19772,15
38318,15
3097,15
41681,14
44295,14
18388,14
27274,14
41645,14
27529,14
36880,14
40107,14
5193,14
47065,14
42955,14
41592,14
3591,14
23971,14
42133,14
8027,14
46608,14
16643,14
40831,14
3348,14
41590,14
33615,14
15487,14
46483,14
3056,14
35053,14
25396,14
3475,14
28580,14
43015,14
13675,14
43722,14
33749,14
18800,14
29767,14
22714,14
32004,14
12458,14
14278,14
29631,14
30989,14
16453,14
40232,14
3502,14
43939,14
43550,14
36603,14
151,13
16949,13
45013,13
38847,13
44254,13
44791,13
35912,13
31885,13
46225,13
34550,13
14232,13
28036,13
11098,13
13144,13
41098,13
1897,13
40841,13
42182,13
6597,13
41238,13
33893,13
10171,13
40689,13
20983,13
5152,13
45294,13
34075,13
46334,13
46342,13
2986,13
28576,13
25002,13
41121,13
14041,13
17986,13
24262,13
98,13
6823,13
9744,13
4827,13
40884,13
38806,13
5944,13
42578,13
39465,13
21900,13
4373,13
34476,13
46266,13
43638,13
42364,13
30882,13
41305,13
3079,12
16879,12
29719,12
41433,12
43712,12
40762,12
37108,12
3909,12
38200,12
41621,12
12313,12
36887,12
14105,12
41947,12
41475,12
45216,12
41381,12
37624,12
40195,12
43709,12
46848,12
9402,12
3944,12
24816,12
41875,12
2266,12
9741,12
44889,12
38712,12
42178,12
26538,12
1799,12
45973,12
20717,12
37460,12
46167,12
15032,12
27853,12
32080,12
36432,12
29135,12
19261,12
44696,12
46484,12
18459,12
29507,12
25812,12
41152,12
42948,12
47130,12
25499,12
6083,12
33793,12
23644,12
44477,12
45270,11
10078,11
86,11
31122,11
6032,11
11817,11
30902,11
16155,11
14935,11
20493,11
24107,11
14961,11
44939,11
43005,11
36261,11
24756,11
45331,11
40201,11
13625,11
38352,11
21873,11
34281,11
34771,11
40029,11
30048,11
43573,11
9829,11
44537,11
