,phylum_taxa_name,phylum_taxa_count,class_taxa_name,class_taxa_count,order_taxa_name,order_taxa_count,family_taxa_name,family_taxa_count,genus_taxa_name,genus_taxa_count,species_taxa_name,species_taxa_count
90,CG2-30-70-394,5,Vicinamibacteria,70,Micavibrionales,321,Actinomycetaceae,579,Lactobacillus_C,856,Streptomyces bacillaris,863
91,TA06,4,Luteitaleia,63,4C28d-15,320,Porticoccaceae,566,Cutibacterium,841,Xanthomonas oryzae,861
92,Calescibacterota,4,Limnochordia,63,Saccharofermentanales,298,Tannerellaceae,564,Citrobacter,839,Stenotrophomonas maltophilia,850
93,Entotheonellota,4,Marinisomatia,63,Kapabacteriales,297,Acidobacteriaceae,558,Lactobacillus,834,Staphylococcus haemolyticus,844
94,Thermosulfidibacterota,4,UBA10030,62,SBR1031,297,Nitrincolaceae,544,Halomonas,830,Mycobacterium kansasii,844
95,Goldbacteria-1,4,NAC60-12,61,Ktedonobacterales,294,Acetivibrionaceae,536,Rathayibacter,824,Rhodococcus qingshengii,844
96,Moduliflexota,3,UBA1177,61,Solibacterales,294,Eggerthellaceae,536,Raoultella,813,Bacillus pumilus,843
97,Edwardsbacteria,3,WGA-4E,60,Steroidobacterales,283,Polyangiaceae,502,Agathobacter,809,Xanthomonas citri,841
98,WOR-3_B,3,UBA2968,59,UBA3495,274,Fusobacteriaceae,502,Paracoccus,795,Bacillus_A mycoides,840
99,RBG-13-61-14,3,Ellin6529,58,Fibrobacterales,271,Selenomonadaceae,473,Francisella,789,Streptomyces filamentosus,820
100,Fermentibacterota,3,MSB-5A5,58,RFN20,269,Brevibacteriaceae,465,Photobacterium,788,Streptomyces anulatus_B,798
101,Bdellovibrionota_A,2,UBA2214,58,Phormidesmiales,268,Pedosphaeraceae,458,Synechococcus_C,774,Bacillus altitudinis,791
102,Dictyoglomota,2,UBA6191,56,Eubacteriales,258,Nitrospiraceae,456,Ensifer,758,Cutibacterium acnes,774
103,UBA2233,2,UBA6777,55,Chloroflexales,256,SM1A02,452,Mannheimia,756,Agrobacterium sp000192635,761
104,UBP4,2,UBA8477,53,Nannocystales,253,Hymenobacteraceae,445,Nocardiopsis,742,Pseudomonas_E sp002966775,753
105,Desantisbacteria,1,UBA5829,53,Geobacterales,253,Thalassospiraceae,430,Ochrobactrum,737,Pseudomonas_E tremae,749
106,RUG730,1,Fimbriimonadia,53,Methylacidiphilales,247,Devosiaceae,430,RC9,731,Rhodococcus hoagii,742
107,Firestonebacteria,1,UBA2361,51,Exiguobacterales,246,Geodermatophilaceae,428,Pedobacter,712,Xanthomonas perforans,741
108,Gemmatimonadota_A,1,Mahellia,50,Rhodothermales,244,Alcanivoracaceae,424,Lentzea,698,Ralstonia pseudosolanacearum,740
109,ARS69,1,Moorellia,49,Reyranellales,233,Balneolaceae,420,Azospirillum,692,Ruminococcus_E bromii,738
110,Aerophobetota,1,Chthonomonadetes,49,Synergistales,225,NAC60-12,419,Nostoc,688,Rhodococcus fascians,737
111,UBA8248,1,Desulfarculia,47,NS11-12g,219,Methylophagaceae,412,Blautia_A,688,Corynebacterium pseudotuberculosis,734
112,Coprothermobacterota,1,Dissulfuribacteria,47,Bdellovibrionales,218,Pyrinomonadaceae,410,Brevundimonas,681,Mannheimia haemolytica,732
