gcf_id,count
57228,1061
49265,766
45969,682
42802,654
883,591
9257,534
5194,507
2947,491
17269,443
13856,364
1793,331
6273,304
57668,295
15390,284
13154,257
54555,234
16528,233
15838,233
15178,227
23599,224
14553,215
9752,205
9758,190
14648,189
7944,186
0,186
12435,172
15804,152
10346,152
7156,151
15756,144
4162,141
7917,140
14066,135
23867,135
57572,134
3276,125
8636,124
54059,123
45329,122
6320,115
64377,114
53974,110
118,110
15856,106
14255,106
10397,105
35416,102
5897,99
29746,97
11466,97
3172,96
10000,96
9403,95
35021,94
42717,91
53536,90
55547,88
58541,86
36581,86
32840,86
12331,84
27894,83
775,83
6654,82
57416,81
780,81
54341,80
60461,80
63158,78
8860,77
55512,77
144,77
58859,76
60727,76
12505,75
42485,75
5426,75
44718,74
10239,73
25407,72
46,72
21936,70
53101,70
4772,69
64909,69
43898,69
16189,69
35906,68
11653,68
41877,67
19401,66
10082,66
60053,65
2268,65
523,65
57912,65
5281,65
64475,64
8988,63
3006,63
41992,63
57884,62
64856,62
10429,61
2425,61
6446,61
56059,60
61621,60
19366,60
11700,59
57934,59
12918,59
20010,59
2973,58
63191,58
15373,58
62262,58
49625,57
37753,57
8874,57
60930,56
19393,56
56671,55
49983,54
28133,54
4877,53
17167,53
18583,53
6374,53
60630,53
31680,52
42458,52
58824,52
9126,51
59292,51
24867,50
1429,50
31888,50
58790,50
38550,50
60846,49
50924,49
64027,49
56844,49
56314,49
51502,49
9302,48
5724,48
9788,48
29273,48
58728,47
39421,47
32593,47
55093,47
60231,47
61322,46
35441,46
782,46
5400,46
42604,46
23858,46
11458,45
64683,45
14665,45
9341,45
25022,44
66207,44
63726,44
22710,44
62665,44
63584,44
42549,44
22148,44
60406,44
9907,44
21250,43
46060,43
28285,43
59452,43
60534,42
54909,42
38135,42
59856,41
25463,41
14826,41
1446,41
9369,41
56496,40
49907,40
58959,40
11507,40
25306,40
33147,39
8741,38
45414,38
55385,38
46133,38
59755,38
41884,38
32522,37
11673,37
63749,37
53756,37
16962,37
1536,36
42772,36
46964,36
62607,36
44177,36
44419,36
59909,36
55421,36
58946,35
2456,35
53009,35
65254,35
53490,35
64626,35
49571,35
61993,34
60792,34
29800,34
59073,34
18672,34
8285,34
23522,34
41647,34
16201,34
14131,33
23702,33
64171,33
4713,33
64496,33
56337,33
56381,33
4194,33
1567,33
64636,33
14695,33
41726,32
34937,32
49598,32
11576,32
59527,32
60333,32
41240,31
35998,31
58490,31
10194,31
61775,31
4203,31
61938,31
5538,31
48734,31
40844,31
30713,31
4147,31
42565,31
37278,31
25998,31
33749,30
52287,30
14310,30
1437,30
60810,30
58144,30
3247,30
39461,29
32076,29
1341,29
38130,29
31828,29
53931,29
15958,29
36314,29
6666,29
927,29
61520,29
26053,29
15345,29
24510,29
172,28
19160,28
42519,28
4360,28
44954,28
66042,28
24697,28
31674,28
61870,28
14727,28
9400,28
15238,28
27243,28
59615,28
23630,28
48703,27
62445,27
13682,27
55728,27
59435,27
20253,27
26088,27
57739,27
23272,27
64921,27
7510,27
61874,27
2342,27
64943,27
60243,27
12874,27
36518,27
52254,27
51249,26
20972,26
23843,26
45451,26
9230,26
46617,26
57576,26
8876,26
66298,26
23166,26
57175,26
55013,26
53453,26
61926,26
42015,25
51173,25
59863,25
54920,25
29262,25
54874,25
43982,25
10264,25
37452,25
52449,25
58552,25
1840,25
59584,25
37513,25
60353,25
7971,25
46325,25
59998,24
56561,24
64767,24
21550,24
1521,24
20514,24
60562,24
12576,24
64296,24
55264,24
6252,24
48368,24
53575,24
20503,24
21584,24
59655,24
22431,24
6765,24
62063,24
55848,24
6337,24
41341,24
64196,24
23387,23
63827,23
58376,23
41361,23
63664,23
17919,23
37611,23
49005,23
61526,23
21372,23
57470,23
9089,23
7543,23
24417,23
3321,23
2362,23
53484,23
40188,23
53389,23
27425,23
63544,22
36164,22
62446,22
49260,22
64669,22
10659,22
4783,22
54951,22
60081,22
35278,22
52030,22
5940,22
46693,22
59402,22
65026,22
54071,22
5843,22
29763,22
29071,22
50628,22
19690,22
48494,21
35373,21
28157,21
55316,21
39746,21
53384,21
5712,21
12992,21
40407,21
40950,21
4238,21
27327,21
12591,21
82,21
1418,21
47892,21
55025,21
48063,21
62973,21
32176,21
30,21
22678,21
60886,21
27775,20
62780,20
1483,20
65623,20
61600,20
9322,20
18421,20
6544,20
22904,20
62860,20
15886,20
45261,20
60362,20
25151,20
52907,20
37350,20
22582,20
14533,19
57189,19
55830,19
28150,19
60186,19
62822,19
23503,19
42591,19
63924,19
22565,19
46704,19
14502,19
46583,19
18410,19
64572,19
60933,19
6218,19
38982,19
63550,19
4206,19
62013,19
46781,19
12213,19
18720,18
54269,18
64878,18
17515,18
4184,18
60722,18
58743,18
5367,18
22507,18
56459,18
23149,18
42534,18
49668,18
25021,18
5192,18
15576,18
55035,18
35943,18
48009,18
64142,18
27047,18
20017,18
60210,18
26751,18
16960,17
27543,17
38798,17
37390,17
4558,17
53367,17
5485,17
60206,17
4138,17
35204,17
7973,17
45201,17
23710,17
30338,17
44530,17
36984,17
13333,17
46088,17
63294,17
22450,17
4470,17
22714,17
41941,17
21946,17
31015,17
28025,17
58418,17
64025,17
50705,17
65078,16
36850,16
27538,16
57823,16
49199,16
31491,16
60120,16
38423,16
45914,16
10398,16
28360,16
15784,16
53235,16
5278,16
24257,16
6590,16
59550,16
20417,16
55389,16
50927,16
43706,16
36772,16
44846,16
62376,16
61662,16
63121,16
10583,16
59213,16
14488,16
62939,16
51607,15
61342,15
42059,15
7982,15
53853,15
20304,15
60374,15
54513,15
13287,15
53457,15
8356,15
10369,15
58413,15
55393,15
16176,15
59182,15
28503,15
63229,15
36765,15
6939,15
57610,15
13258,15
44432,15
43514,15
64170,15
2096,15
17968,15
58353,15
20423,15
14424,15
65045,15
19248,15
66271,15
65900,15
8892,15
45478,15
25342,15
49545,15
15171,15
14110,15
59680,15
41933,15
50144,15
48897,15
65237,15
55061,15
21342,15
16818,15
28205,15
27277,15
51776,15
65287,15
31474,15
65946,14
2989,14
