gcf_id,count
31953,1975
22441,1908
2101,1468
18765,1455
1488,1338
4222,759
453,648
26384,605
19493,585
1816,579
22488,557
10420,515
2607,496
30578,459
1889,424
30947,367
4365,365
4391,356
30456,334
2818,330
2529,328
7085,325
19863,325
1885,323
4997,276
1315,264
3445,255
2530,240
2870,237
6735,234
398,227
32207,224
2545,218
2444,196
8339,180
4594,174
1661,174
7615,162
31039,160
1603,157
7457,152
28377,152
29965,147
31115,144
23184,140
15183,140
4293,140
1517,139
1905,139
1656,139
1895,134
15580,134
31037,131
65,131
17850,131
2499,131
4202,120
27520,119
30502,117
31015,116
31880,114
33250,109
30,108
7636,107
32398,106
5027,103
12964,101
31892,101
519,99
3862,99
15414,97
32495,97
9053,97
32534,96
361,96
5023,96
32373,95
1987,95
32,93
30451,92
1932,91
14160,89
31403,89
10890,88
22936,87
1638,85
2580,84
17392,84
31497,84
15033,82
22369,82
3294,81
213,80
4455,78
19228,78
9831,78
32287,76
216,76
23202,76
2847,75
2424,75
16597,75
31511,75
2340,74
22868,74
31703,73
26933,73
328,73
17534,72
19321,72
6401,72
30937,72
8994,70
33571,70
32931,69
25013,69
33674,69
22653,69
24083,68
5123,68
29948,67
30805,67
21910,67
1390,66
33590,66
31866,66
23246,65
29940,64
16808,63
6212,62
26905,61
7442,61
15154,61
26459,61
12989,60
9444,60
29156,59
16687,59
30436,59
10619,59
27618,59
31306,58
25698,58
32477,58
33048,58
4035,57
31517,57
31743,56
2542,56
32394,56
5033,56
2732,56
15501,56
15982,56
5153,55
6814,55
8899,53
1715,53
31874,51
33124,51
32545,51
29944,50
31298,50
14432,50
20831,49
24395,49
18895,49
33619,48
30070,48
33016,48
391,48
28838,47
17171,47
32320,47
5543,47
13373,46
2428,46
23285,46
8572,46
30790,46
16180,45
15423,45
31064,45
7761,44
18065,44
15457,44
6381,43
25402,43
30492,43
10549,43
21543,43
297,42
14531,42
8460,42
30842,42
18282,42
24252,42
30445,41
341,41
435,41
13329,40
14682,40
1096,40
31525,40
14732,39
32085,39
20565,39
5483,39
22459,39
320,39
28448,39
2475,39
2212,39
5050,39
22802,38
6436,38
32329,38
31424,38
1416,38
31492,38
32314,38
17119,37
32546,37
21082,37
29562,36
2972,36
31131,36
9830,36
33149,35
30483,35
7200,35
1918,35
31163,35
20653,35
14906,35
27448,35
4438,35
31479,35
2740,35
27488,35
9096,34
14982,34
32950,34
11922,34
2601,34
23620,34
30601,33
5092,33
18930,33
12971,33
26818,33
22170,33
14149,32
4098,32
31799,32
11950,32
23585,32
23799,31
32094,31
24649,31
25,31
31023,31
2789,31
21349,31
29845,31
878,31
30967,30
22405,30
9583,30
30558,30
33810,30
6366,29
32714,29
26674,29
15786,29
13890,29
15022,28
5811,28
31954,28
19768,28
25330,28
22999,28
31726,28
38,28
21838,28
8035,28
12031,27
2390,27
1049,27
12094,27
16594,27
33056,27
32861,27
1204,27
1316,27
31955,27
24296,27
33065,27
27328,27
29441,26
32404,26
14466,26
25767,26
11696,26
7842,26
4439,26
24062,26
24586,26
25755,26
7431,26
32386,26
19529,26
31862,26
9940,26
16367,25
20147,25
18747,25
8952,25
22886,25
30371,25
32570,25
2775,25
3121,24
6085,24
8829,24
10730,24
23098,24
32988,24
27020,24
32949,24
20192,24
24873,24
8974,24
5021,24
22401,24
28172,24
31493,24
31289,24
31029,24
32987,24
1340,23
6562,23
19666,23
3301,23
29284,23
534,23
25727,23
405,23
21758,23
32178,23
1059,22
29983,22
33100,22
2589,22
32772,22
19222,22
27544,22
12838,22
16953,22
13846,22
31812,22
25695,22
22906,22
9143,22
10844,22
31266,22
33762,22
7755,21
1926,21
11429,21
30735,21
1529,21
287,21
26504,21
10172,21
20101,21
31885,21
26383,21
32361,21
25114,21
6072,20
15436,20
3117,20
21976,20
32713,20
13015,20
20110,20
31106,20
23370,20
27697,20
14529,20
9495,20
32304,20
16986,19
30559,19
901,19
3689,19
10706,19
32702,19
2882,19
21370,19
10044,19
10856,19
23918,19
10252,19
5348,18
30836,18
4805,18
12060,18
1907,18
22173,18
6294,18
31778,18
33435,18
9070,18
568,18
23239,18
33254,18
25589,18
16952,18
19728,18
21081,18
11686,18
18471,18
20785,18
30449,18
30225,18
2464,18
2651,17
31752,17
17793,17
23636,17
32440,17
33221,17
18371,17
5115,17
202,17
6077,17
31003,17
19710,17
29080,17
21394,17
32248,17
32991,17
5291,17
16853,17
5440,17
2936,17
19185,17
29483,17
27477,17
31211,16
2678,16
7912,16
18823,16
27817,16
4529,16
6693,16
20747,16
31059,16
32328,16
21518,16
2002,16
26582,16
31529,16
30310,16
21285,16
14609,16
881,16
14819,16
31331,16
24312,16
29594,16
32090,16
3604,16
20097,16
3339,16
1839,15
16485,15
32385,15
18334,15
28658,15
21219,15
33852,15
11356,15
21856,15
30768,15
24462,15
6421,15
30851,15
18441,15
22832,15
3582,15
3611,15
33232,15
14696,15
33115,15
6050,15
24607,15
31168,15
13033,15
22377,15
6975,14
10368,14
4148,14
12660,14
6603,14
31875,14
6513,14
31313,14
27203,14
21020,14
10979,14
272,14
17299,14
25364,14
17216,14
28,14
11616,14
10875,14
32231,14
33742,14
33347,14
31758,14
33014,14
9252,14
30731,14
11306,14
16884,14
28323,14
28841,14
3926,14
31344,14
24096,14
10860,14
33876,14
19564,14
10510,14
21849,14
30656,14
21779,14
1153,14
8120,14
15563,14
26165,13
32038,13
26619,13
9145,13
25765,13
31976,13
17449,13
31884,13
27474,13
33542,13
9864,13
20760,13
24914,13
30946,13
5066,13
379,13
6753,13
2303,13
3165,13
2488,13
30751,13
2890,13
10571,13
33865,13
9751,13
32439,13
14860,13
7559,13
25466,13
30425,13
3609,13
33272,13
31712,13
25561,13
17252,13
22096,13
7569,13
11611,13
6987,13
15351,13
17455,13
30629,13
22817,13
26222,13
23488,13
63,13
22913,12
11768,12
10704,12
21424,12
27885,12
10302,12
29990,12
32395,12
32293,12
30323,12
17355,12
29752,12
32508,12
15319,12
309,12
33041,12
31842,12
28088,12
18438,12
23934,12
13625,12
20576,12
473,12
13012,12
3779,12
2471,12
33462,12
5806,12
18025,12
8784,12
16604,12
31753,12
6119,12
31276,12
21857,12
2204,12
13526,12
13520,12
25439,12
30355,12
29746,12
32270,12
4940,12
28762,12
6069,12
17279,12
6203,12
15100,11
32625,11
6484,11
31124,11
23600,11
32697,11
25930,11
3792,11
10718,11
4980,11
21208,11
22180,11
29006,11
4695,11
26394,11
3723,11
3681,11
24889,11
22760,11
263,11
26235,11
16332,11
29112,11
9904,11
32117,11
33601,11
30097,11
9385,11
5451,11
19073,11
12831,11
24601,11
27118,11
32633,11
12520,11
5768,11
17819,11
20515,11
22110,11
1421,11
2042,11
29938,11
9445,11
29194,11
31350,11
31013,11
12012,11
25984,11
27260,11
32405,11
17567,11
7269,11
33044,11
8813,11
31940,11
2977,11
25729,11
33098,11
24288,11
6675,11
33155,10
32841,10
25235,10
21249,10
7972,10
20788,10
10177,10
32417,10
19369,10
32234,10
20510,10
24546,10
5891,10
15310,10
5650,10
7914,10
25548,10
15429,10
7086,10
9416,10
33751,10
27698,10
420,10
16795,10
4269,10
7021,10
6446,10
16727,10
30943,10
32155,10
33032,10
30791,10
30750,10
28276,10
5726,10
21341,10
23183,10
17841,10
1273,10
33685,10
11218,10
8647,10
30497,10
21289,10
6478,10
26567,10
24329,10
13596,10
5765,10
29733,9
16390,9
33853,9
12123,9
24390,9
33174,9
14592,9
9955,9
31923,9
31541,9
26749,9
31358,9
26820,9
22869,9
22975,9
33040,9
19744,9
31929,9
5750,9
31087,9
15544,9
33132,9
9032,9
26374,9
22240,9
20337,9
1806,9
4514,9
33753,9
26404,9
30963,9
9836,9
18830,9
31366,9
24913,9
11172,9
24793,9
28907,9
17322,9
31028,9
800,9
32037,9
32849,9
8956,9
32332,9
22013,9
24340,9
33432,9
11960,9
2,9
1053,9
4664,9
32340,9
10556,9
33838,9
5097,9
17151,9
3081,9
30699,9
21843,9
28207,9
4015,9
20483,9
4124,9
15054,9
5191,9
27177,9
2244,8
29927,8
26763,8
12419,8
31261,8
21275,8
17701,8
4115,8
5104,8
30808,8
32814,8
33815,8
27253,8
9180,8
2397,8
18814,8
5147,8
8729,8
32471,8
33296,8
14374,8
25752,8
22307,8
21584,8
6964,8
7056,8
26434,8
1135,8
1607,8
29376,8
11017,8
5298,8
26547,8
27470,8
29550,8
22695,8
33093,8
19871,8
33697,8
18281,8
32144,8
5659,8
30516,8
3428,8
27483,8
33095,8
12827,8
32168,8
27828,8
27755,8
8115,8
14068,8
21070,8
3753,8
33330,8
10614,8
6596,8
28084,8
21373,8
27579,8
33030,8
2028,8
32511,8
19040,8
7215,8
2596,8
2476,8
19289,8
32885,8
7470,8
4360,8
18651,8
33033,8
19267,8
17920,8
32154,8
25594,8
10437,8
10001,8
32288,8
2165,8
26297,8
3486,8
8014,8
33503,8
32806,8
29323,8
30185,8
16717,8
33279,8
14508,8
22985,8
24028,8
18241,8
14718,8
28389,8
31009,8
12413,8
12276,8
24965,8
1264,8
11605,8
31686,8
26743,7
4119,7
12830,7
26099,7
29609,7
33438,7
11548,7
30792,7
32715,7
1830,7
27099,7
33082,7
32199,7
5227,7
4865,7
24864,7
4358,7
1457,7
16488,7
28082,7
33580,7
19276,7
22640,7
7938,7
4418,7
24171,7
24225,7
15933,7
27555,7
2627,7
15626,7
4366,7
25646,7
16612,7
13559,7
11688,7
21399,7
27764,7
22895,7
1819,7
1751,7
5309,7
20780,7
5049,7
13155,7
16746,7
23750,7
25934,7
7372,7
4507,7
31641,7
14991,7
5056,7
24320,7
5886,7
28439,7
18130,7
24165,7
2536,7
5388,7
22759,7
14040,7
17805,7
27613,7
10453,7
12470,7
36,7
3011,7
15667,7
26161,7
30010,7
17899,7
15386,7
33555,7
8323,7
3635,7
33599,7
4392,7
31547,7
21893,7
1709,7
28089,7
19027,7
10596,7
7523,7
9400,7
8885,7
23043,7
5514,7
29159,7
30646,7
23789,7
8727,7
9666,7
32551,7
8175,7
33199,7
33036,7
11519,7
26966,7
32280,7
270,7
33567,7
23380,7
15405,7
907,7
13215,7
27318,7
11273,7
10612,7
4463,7
4759,7
32745,7
30644,7
2805,7
31489,6
194,6
32278,6
21867,6
4153,6
2548,6
17599,6
25999,6
17551,6
20705,6
12685,6
6549,6
19859,6
20088,6
9952,6
22347,6
27548,6
12936,6
29486,6
11631,6
14668,6
6553,6
32205,6
8538,6
25855,6
31500,6
25998,6
21015,6
30586,6
31818,6
9316,6
15332,6
21002,6
31612,6
20569,6
33800,6
15202,6
23729,6
2374,6
24389,6
3271,6
24925,6
27147,6
4453,6
33532,6
33122,6
32044,6
30664,6
23771,6
29754,6
1873,6
2720,6
33393,6
8456,6
15951,6
25248,6
5827,6
27432,6
30306,6
1363,6
2744,6
30849,6
21000,6
25283,6
9283,6
20677,6
26009,6
7933,6
50,6
20878,6
7558,6
27013,6
31499,6
9597,6
21158,6
32359,6
3326,6
32967,6
21551,6
28108,6
16578,6
20075,6
6222,6
9406,6
24175,6
28791,6
30689,6
31578,6
20309,6
28776,6
31860,6
11126,6
9150,6
28770,6
18459,6
28958,6
25088,6
3865,6
26780,6
33136,6
3288,6
5464,6
31699,6
13477,6
18922,6
16477,6
30757,6
13788,6
2349,6
1892,6
1909,6
31294,6
28955,6
5368,6
31971,6
33529,6
20961,6
3105,6
8796,6
11500,6
23924,6
23453,6
32538,6
17884,6
6856,6
4217,6
23580,6
25453,6
12018,6
33733,6
17250,6
33568,6
3658,6
2392,6
27521,6
32210,6
11985,6
15628,6
2685,6
5284,6
14648,6
32532,6
21045,6
16846,6
15692,6
5428,6
32774,6
12497,6
9464,6
31296,6
23132,6
27057,6
21378,6
25701,6
10388,6
3450,6
14312,6
33125,6
10300,6
30131,6
296,6
3494,6
16220,6
25826,6
1723,5
27761,5
13905,5
14876,5
1992,5
28614,5
29958,5
27235,5
25683,5
19346,5
32966,5
22226,5
18534,5
18440,5
33246,5
11346,5
24309,5
15615,5
4667,5
31794,5
8452,5
43,5
7962,5
33201,5
19690,5
6737,5
33275,5
3390,5
368,5
9840,5
25292,5
30234,5
2056,5
23068,5
23450,5
28493,5
32089,5
1544,5
4292,5
33156,5
22208,5
12259,5
30695,5
33078,5
26364,5
31831,5
2090,5
32079,5
27382,5
27143,5
20441,5
28747,5
32901,5
25704,5
31800,5
25996,5
1058,5
4354,5
26494,5
21315,5
11243,5
7295,5
2954,5
6750,5
21186,5
25261,5
22432,5
14940,5
32331,5
9149,5
7164,5
25606,5
11113,5
18136,5
6428,5
17434,5
33765,5
25673,5
27018,5
33453,5
6118,5
6332,5
23430,5
7528,5
19345,5
28419,5
32753,5
5077,5
30020,5
4713,5
27434,5
10746,5
8011,5
28014,5
33530,5
14370,5
11642,5
33007,5
28345,5
3,5
598,5
30428,5
30895,5
16179,5
11969,5
31620,5
11012,5
5447,5
7581,5
16820,5
2119,5
11425,5
28291,5
15080,5
355,5
16081,5
26479,5
23968,5
31931,5
6125,5
8152,5
28309,5
22436,5
22953,5
26182,5
20696,5
9852,5
27735,5
23039,5
10164,5
17204,5
12273,5
11662,5
28370,5
29067,5
22619,5
5362,5
30195,5
13333,5
8167,5
12384,5
6519,5
16531,5
12034,5
12646,5
7818,5
27361,5
10501,5
5129,5
14340,5
6816,5
13956,5
27768,5
5861,5
16962,5
32498,5
24758,5
21316,5
30486,5
18912,5
5791,5
20390,5
13220,5
6423,5
13018,5
3691,5
28999,5
21215,5
31773,5
15329,5
3940,5
26307,5
28908,5
635,5
16505,5
5371,5
27037,5
26814,5
26740,5
30401,5
30964,5
24394,5
16848,5
3012,5
16177,5
4210,5
19208,5
26098,5
17107,5
31810,5
18597,5
16960,5
69,5
31762,5
32428,5
33672,5
26535,5
2362,5
24230,5
31883,5
14013,5
29660,5
32643,5
32743,5
12980,5
7330,5
8600,5
3895,5
23717,5
11499,5
33627,5
26409,5
19919,5
26537,5
21593,5
28559,5
31760,5
24259,5
5313,5
31780,5
26069,4
26015,4
31768,4
33139,4
2931,4
23682,4
33185,4
27935,4
19724,4
2780,4
13192,4
33302,4
31531,4
33684,4
2640,4
17861,4
8783,4
10779,4
15987,4
4155,4
31303,4
9662,4
27621,4
3369,4
2754,4
13286,4
9002,4
32908,4
8830,4
3478,4
28822,4
31305,4
3427,4
6290,4
28482,4
33857,4
14350,4
19238,4
31882,4
10133,4
4608,4
33891,4
1725,4
25751,4
20819,4
31312,4
28040,4
7530,4
7102,4
29106,4
3497,4
27380,4
20234,4
7010,4
33708,4
16014,4
6089,4
32867,4
30515,4
3255,4
22940,4
17293,4
5494,4
33611,4
33080,4
9003,4
14725,4
2369,4
32127,4
28041,4
1426,4
31748,4
9910,4
30625,4
28797,4
29692,4
14774,4
26668,4
12164,4
27050,4
22062,4
20362,4
31959,4
32121,4
91,4
16109,4
21807,4
22101,4
8865,4
33641,4
22872,4
29485,4
3064,4
872,4
22063,4
33397,4
1375,4
31899,4
13277,4
25378,4
20720,4
8129,4
30140,4
29680,4
21702,4
33164,4
33505,4
25308,4
33764,4
3789,4
31634,4
12434,4
7635,4
6369,4
28637,4
17595,4
31628,4
32189,4
24923,4
16249,4
15797,4
29477,4
31654,4
30940,4
20829,4
6337,4
33485,4
35,4
16379,4
9619,4
33660,4
16941,4
30344,4
16957,4
6550,4
25082,4
26178,4
8263,4
30568,4
9403,4
32179,4
27367,4
11592,4
31838,4
19665,4
23606,4
26114,4
31701,4
24852,4
4356,4
31280,4
5858,4
30091,4
25413,4
31030,4
13942,4
32615,4
6202,4
32350,4
31598,4
32632,4
14315,4
29047,4
7906,4
22714,4
12002,4
14062,4
6399,4
231,4
20100,4
22606,4
2431,4
31847,4
27401,4
7057,4
3778,4
22898,4
30432,4
9179,4
11180,4
11320,4
33108,4
7477,4
4832,4
33013,4
4623,4
32215,4
14569,4
6447,4
32589,4
16047,4
22919,4
12790,4
18902,4
10985,4
7091,4
8760,4
3525,4
33575,4
3189,4
6788,4
32673,4
33104,4
15133,4
33336,4
